Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Simon Mckinnon,30/07/2019,2,"Manchester, UK",Visiting DWP staff in Manchester,Rail,Standard ,£78.00,NIL return,£452.60,NIL return
Simon Mckinnon,07/08/2019,1,"Sheffield, UK, UK","Visiting DWP staff in Sheffield, UK","Rail, Taxi ",Standard ,NIL return,£5.00,£220.25,NIL return
Simon Mckinnon,13/08/2019,2,"Blackpool, UK, UK","Visiting DWP staff in Blackpool, UK","Rail, Taxi ",Standard ,£65.00,£44.00,£489.00,NIL return
Simon Mckinnon,09/09/2019,2,"Manchester, UK",Simon's DD workshop ,"Rail, Tram",Standard ,£20.00,£2.80,£397.80,NIL return
Simon Mckinnon,24/09/2019,2,"Coverney, UK",Stratey workshop ,Rail,Standard ,NIL return,NIL return,£176.38,NIL return
Juan Villamil,17/07/2019,1,"Blackpool, UK, UK",Juan All Staff Roadshow,Rail,Standard,NIL return,NIL return,£274.80,NIL return
Juan Villamil,05/08/2019,1,"Manchester, UK",Senior Leadership Team People Sessions,Rail,Standard,NIL return,NIL return,£150.25,NIL return
Juan Villamil,28/08/2019,1,"Manchester, UK",Senior Leadership Team People Sessions,Rail,Standard,NIL return,NIL return,£188.05,NIL return
Juan Villamil,04/09/2019,1,"Leeds, UK, UK",Juan All Staff Roadshow,Rail,Standard,NIL return,NIL return,£132.00,NIL return
Juan Villamil,10/09/2019,1,"Manchester, UK",Digital Summer Workshop,Rail,Standard,NIL return,NIL return,£178.25,NIL return
Juan Villamil,10/09/2019,2,"Newcastle, UK, UK",Senior Leadership Team People Sessions,NIL return,NIL return,£91.70,NIL return,£169.15,NIL return
Juan Villamil,13/09/2019,1,"Manchester, UK",Fireside Chats for the Head Of Hybrid Cloud ,Rail,Standard,NIL return,NIL return,£195.85,NIL return
Juan Villamil,17/09/2019,1,"Manchester, UK","Invitation to War, Peace and IT  Executive Roundtable ",Rail,Standard,NIL return,NIL return,£157.25,NIL return
Juan Villamil,18/09/2019,2,"Manchester, UK",All staff evolution Event ,Rail,Standard,NIL return,NIL return,£335.10,NIL return
Juan Villamil,25/09/2019,1,"Coventry, UK",Strategy Workshop ,Rail,Standard,NIL return,NIL return,£112.55,NIL return
Tamara Bruck,01/07/2019,1,"SAP, Clockhouse Place, Feltham, UK",Internal Meeting with Supplier - Digital UE (SAP),Car,Standard,£19.80,£79.20,£99.00,NIL return
Tamara Bruck,16/07/2019,1,"Blackpool, UK, UK",Hub Visit,Rail,Standard,NIL return,NIL return,£386.00,NIL return
Tamara Bruck,30/07/2019,4,"Glasgow, UK",Internal Meeting with DWP UC / CRCF Teams,"Taxi, Air ",Standard,£311.15,NIL return,£601.16,NIL return
Tamara Bruck,10/09/2019,1,"Manchester, UK",DWP Digital Summer Workshop,Rail ,Standard,NIL return,NIL return,£353.05,NIL return
Tamara Bruck,25/09/2019,1,"Coventry, UK",DWP Digital ET Strategy Workshop,Rail,Standard,NIL return,NIL return,£160.25,NIL return
Helen Roberts,20/08/2019,1,"Edinburgh, Scotland",Joint Strategic Design Group Meeting ,Air,Economy,£54.85,NIL return,£375.57,NIL return
Helen Roberts,04/09/2019,1,"Sheffield, UK, UK","Quarterly Face to Face SLT meeting in Sheffield, UK",Rail,Standard,£67.50,NIL return,£203.67,NIL return
Helen Roberts,09/09/2019,1,"Manchester, UK",DWP Digital Summer Workshop,Rail,Standard,£166.25,NIL return,£166.25,NIL return
Helen Roberts,09/09/2019,1,"Manchester, UK",DWP Digital Summer Workshop,Rail,Standard,£67.00,NIL return,£176.95,NIL return
Helen Roberts,24/09/2019,1,"Coventry, UK",Strategy workshop ,Rail,Standard,£74.30,NIL return,£157.35,NIL return
Helen Roberts,22/10/2019,1,"Manchester, UK",Transformation  rise to the challenge together - conference,Rail,Standard,NIL return,NIL return,£178.26,NIL return
Kenny Robertson,10/07/2019,2,"London, UK, UK UK",Internal Meetings Digital Exec Team Meeting,Rail,Standard,£133.65,NIL return,£464.65,NIL return
Kenny Robertson,16/07/2019,2,"London, UK, UK",Civil Service Live,Rail,Standard,£5.00,NIL return,£336.00,NIL return
Kenny Robertson,24/07/2019,2,"London, UK ",Digital Executive Team,Rail,Standard,£125.60,NIL return,£456.60,NIL return
Kenny Robertson,01/08/2019,1,"London, UK ",Senior Stakeholder Show & Tell session,Rail,Standard,£4.99,NIL return,£335.24,NIL return
Kenny Robertson,05/09/2018,1,"Newcastle, UK","Internal Meetings Newcastle, UK Team",Rail,Standard,£2.85,NIL return,£152.70,NIL return
Kenny Robertson,12/09/2019,2,"London, UK ",Digital Executive Team,Rail,Standard,£125.13,NIL return,£465.63,NIL return
Aaron Jafffrey,01/07/2019,1,"Sheffield, UK",Team meeting,Rail,Standard,£5.00,NIL return,£130.40,£0.00
Aaron Jafffrey,04/07/2019,1,"London, UK",Railing,Rail,Standard,£4.85,NIL return,£331.85,£0.00
Aaron Jafffrey,09/07/2019,1,"London, UK",Site visit,Rail,Standard,£11.04,NIL return,£355.04,£0.00
Aaron Jafffrey,16/07/2019,2,"Sheffield, UK",Meeting with Suppliers,Rail,Standard,£90.95,NIL return,£221.75,£0.00
Aaron Jafffrey,23/07/2019,1,"Blackpool, UK",Internal meeting,Hire Car,NIL return,£5.00,NIL return,£60.71,£48.71
Aaron Jafffrey,24/07/2019,3,"London, UK",Internal Meetings,Rail,Standard,£218.67,NIL return,£587.17,£0.00
Aaron Jafffrey,30/07/2019,1,"Leeds, UK",Workshop,Rail,Standard,£5.00,NIL return,£112.00,£0.00
Aaron Jafffrey,31/07/2019,1,Manchester,Internal meeting,Rail,Standard,£4.60,NIL return,£141.50,£0.00
Aaron Jafffrey,01/08/2019,1,"London, UK",Internal meeting,Rail,Standard,£9.15,NIL return,£352.40,£0.00
Aaron Jafffrey,06/08/2019,1,"London, UK",Workshop,Rail,Standard,£6.87,NIL return,£340.12,£0.00
Aaron Jafffrey,09/08/2019,1,"London, UK",Internal meeting,Rail,Standard,NIL return,NIL return,£333.25,£0.00
Aaron Jafffrey,10/09/2019,1,Manchester,Summer Workshop,Rail,Standard,£4.85,NIL return,£95.10,£0.00
Aaron Jafffrey,11/09/2019,1,"Birmingham, UK",Conference,Rail,Standard,NIL return,NIL return,£225.75,£0.00
Aaron Jafffrey,16/09/2019,1,"Newcastle, UK",Workshop,Car,NIL return,NIL return,NIL return,£3.30,£0.00
Aaron Jafffrey,17/09/2019,1,"London, UK",Internal meetings,Rail,Standard,£5.00,NIL return,£358.25,£0.00
Aaron Jafffrey,18/09/2019,1,"Leeds, UK",Internal meetings,Rail,Standard,£5.00,NIL return,£74.65,£0.00
Aaron Jafffrey,19/09/2019,1,"London, UK",Internal meetings,Rail,Standard,NIL return,NIL return,£343.29,£0.00
Aaron Jafffrey,20/09/2019,1,"Newcastle, UK",Supplier visit,Car,NIL return,NIL return,NIL return,£3.30,£0.00
